Cday,CT,bin,data
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0
1,5,10,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0
1,6,10,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0
1,7,10,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,0
1,8,9,0
1,8,10,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,9,7,0
1,9,8,0
1,9,9,0
1,9,10,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,1
1,10,5,1
1,10,6,0
1,10,7,0
1,10,8,1
1,10,9,18
1,10,10,11
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0
1,11,10,0
1,12,1,123
1,12,2,73
1,12,3,120
1,12,4,0
1,12,5,73
1,12,6,116
1,12,7,107
1,12,8,0
1,12,9,61
1,12,10,92
1,13,1,0
1,13,2,139
1,13,3,137
1,13,4,67
1,13,5,0
1,13,6,138
1,13,7,135
1,13,8,70
1,13,9,0
1,13,10,127
1,14,1,0
1,14,2,141
1,14,3,143
1,14,4,52
1,14,5,124
1,14,6,87
1,14,7,82
1,14,8,141
1,14,9,0
1,14,10,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,48
1,15,6,120
1,15,7,0
1,15,8,142
1,15,9,52
1,15,10,59
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,89
1,16,6,107
1,16,7,0
1,16,8,111
1,16,9,0
1,16,10,0
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
1,17,8,0
1,17,9,0
1,17,10,0
1,18,1,44
1,18,2,0
1,18,3,0
1,18,4,0
1,18,5,0
1,18,6,0
1,18,7,0
1,18,8,0
1,18,9,0
1,18,10,0
1,19,1,63
1,19,2,0
1,19,3,0
1,19,4,0
1,19,5,20
1,19,6,0
1,19,7,0
1,19,8,0
1,19,9,0
1,19,10,0
1,20,1,0
1,20,2,0
1,20,3,0
1,20,4,0
1,20,5,0
1,20,6,0
1,20,7,0
1,20,8,0
1,20,9,88
1,20,10,0
1,21,1,52
1,21,2,0
1,21,3,0
1,21,4,0
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0
1,21,10,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,89
1,22,7,93
1,22,8,0
1,22,9,0
1,22,10,0
1,23,1,0
1,23,2,0
1,23,3,0
1,23,4,51
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,2
1,23,9,0
1,23,10,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,0,7,0
2,0,8,0
2,0,9,0
2,0,10,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0
2,1,10,0
2,2,1,0
2,2,2,0
2,2,3,0
2,2,4,0
2,2,5,0
2,2,6,0
2,2,7,0
2,2,8,0
2,2,9,0
2,2,10,0
2,3,1,0
2,3,2,0
2,3,3,0
2,3,4,0
2,3,5,0
2,3,6,0
2,3,7,0
2,3,8,0
2,3,9,0
2,3,10,0
2,4,1,0
2,4,2,0
2,4,3,0
2,4,4,0
2,4,5,0
2,4,6,0
2,4,7,0
2,4,8,0
2,4,9,0
2,4,10,0
2,5,1,0
2,5,2,0
2,5,3,0
2,5,4,0
2,5,5,0
2,5,6,0
2,5,7,0
2,5,8,0
2,5,9,0
2,5,10,0
2,6,1,0
2,6,2,0
2,6,3,0
2,6,4,0
2,6,5,0
2,6,6,0
2,6,7,0
2,6,8,0
2,6,9,0
2,6,10,0
2,7,1,0
2,7,2,0
2,7,3,0
2,7,4,0
2,7,5,0
2,7,6,0
2,7,7,0
2,7,8,0
2,7,9,0
2,7,10,0
2,8,1,0
2,8,2,0
2,8,3,0
2,8,4,0
2,8,5,0
2,8,6,0
2,8,7,0
2,8,8,0
2,8,9,0
2,8,10,0
2,9,1,0
2,9,2,0
2,9,3,0
2,9,4,0
2,9,5,0
2,9,6,0
2,9,7,0
2,9,8,0
2,9,9,0
2,9,10,0
2,10,1,0
2,10,2,0
2,10,3,0
2,10,4,1
2,10,5,2
2,10,6,0
2,10,7,0
2,10,8,0
2,10,9,0
2,10,10,0
2,11,1,0
2,11,2,0
2,11,3,0
2,11,4,0
2,11,5,0
2,11,6,0
2,11,7,0
2,11,8,0
2,11,9,0
2,11,10,0
2,12,1,114
2,12,2,115
2,12,3,0
2,12,4,86
2,12,5,0
2,12,6,91
2,12,7,0
2,12,8,51
2,12,9,99
2,12,10,0
2,13,1,0
2,13,2,70
2,13,3,39
